record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],
"854779069","626427202","159496973","314.44","59.200000000000045","3.48","300","112","93","19","0.0","59.200000000000045","3.48","0","0","0","0.0",
"854779070","626427526","159497107","317.55","59.39999999999998","3.443","300","113","93","19","0.0","59.39999999999998","3.443","0","0","0","0.0",
"854779071","626427859","159497258","320.76","59.39999999999998","3.406","300","113","93","19","0.0","59.39999999999998","3.406","0","0","0","0.0",
"854779072","626428211","159497470","324.26","59.39999999999998","3.406","300","115","93","19","0.0","59.39999999999998","3.406","0","0","0","0.0",
"854779073","626428555","159497685","327.69","59.39999999999998","3.396","300","117","93","19","0.0","59.39999999999998","3.396","0","0","0","0.0",
"854779074","626428900","159497902","331.14","59.39999999999998","3.406","300","117","92","19","0.0","59.39999999999998","3.406","0","0","0","0.0",
"854779075","626429125","159498067","333.44","59.200000000000045","3.396","300","118","92","19","0.0","59.200000000000045","3.396","0","0","0","0.0",
"854779076","626429438","159498243","336.52","59.0","3.191","300","118","92","19","0.0","59.0","3.191","0","0","0","0.0",
"854779077","626429768","159498397","339.72","58.799999999999955","3.182","300","117","92","19","0.0","58.799999999999955","3.182","0","0","0","0.0",
"854779078","626430118","159498562","343.12","58.60000000000002","3.191","300","116","93","19","0.0","58.60000000000002","3.191","0","0","0","0.0",
"854779079","626430466","159498733","346.51","58.39999999999998","3.219","300","115","93","19","0.0","58.39999999999998","3.219","0","0","0","0.0",
"854779080","626430827","159498895","349.99","58.39999999999998","3.228","300","114","93","19","0.0","58.39999999999998","3.228","0","0","0","0.0",
"854779081","626431191","159499055","353.51","58.200000000000045","3.247","300","113","93","19","0.0","58.200000000000045","3.247","0","0","0","0.0",
"854779082","626431537","159499231","356.89","58.39999999999998","3.266","300","114","93","19","0.0","58.39999999999998","3.266","0","0","0","0.0",
"854779083","626431882","159499411","360.27","58.39999999999998","3.266","300","115","93","19","0.0","58.39999999999998","3.266","0","0","0","0.0",
"854779084","626432246","159499597","363.82","58.60000000000002","3.275","300","114","92","19","0.0","58.60000000000002","3.275","0","0","0","0.0",
"854779085","626432601","159499775","367.28","58.60000000000002","3.294","300","116","92","19","0.0","58.60000000000002","3.294","0","0","0","0.0",
"854779086","626432962","159499942","370.79","58.60000000000002","3.303","300","116","92","19","0.0","58.60000000000002","3.303","0","0","0","0.0",
"854779087","626433311","159500109","374.17","58.60000000000002","3.303","300","115","92","19","0.0","58.60000000000002","3.303","0","0","0","0.0",
"854779088","626433663","159500287","377.61","58.60000000000002","3.312","300","116","92","19","0.0","58.60000000000002","3.312","0","0","0","0.0",
"854779089","626434016","159500466","381.06","58.60000000000002","3.312","300","116","92","19","0.0","58.60000000000002","3.312","0","0","0","0.0",
"854779090","626434359","159500619","384.36","58.60000000000002","3.322","300","116","92","19","0.0","58.60000000000002","3.322","0","0","0","0.0",
"854779091","626434688","159500756","387.53","58.39999999999998","3.322","300","116","92","19","0.0","58.39999999999998","3.322","0","0","0","0.0",
"854779092","626435013","159500929","390.72","58.200000000000045","3.322","300","116","92","18","0.0","58.200000000000045","3.322","0","0","0","0.0",
"854779093","626435314","159501127","393.74","58.200000000000045","3.322","300","114","91","18","0.0","58.200000000000045","3.322","0","0","0","0.0",
"854779094","626435613","159501320","396.74","58.0","3.303","300","114","91","18","0.0","58.0","3.303","0","0","0","0.0",
"854779095","626435934","159501507","399.91","58.0","3.294","300","114","91","18","0.0","58.0","3.294","0","0","0","0.0",
"854779096","626436229","159501659","402.79","58.0","3.294","300","115","91","18","0.0","58.0","3.294","0","0","0","0.0",
"854779097","626436532","159501851","405.82","58.0","3.275","300","116","91","18","0.0","58.0","3.275","0","0","0","0.0",
"854779098","626436803","159502022","408.53","57.799999999999955","3.275","300","115","91","18","0.0","57.799999999999955","3.275","0","0","0","0.0",
"854779099","626437067","159502147","411.09","57.799999999999955","3.256","300","115","91","18","0.0","57.799999999999955","3.256","0","0","0","0.0",
"854779100","626437346","159502266","413.78","57.60000000000002","3.238","300","118","92","18","0.5","57.60000000000002","3.238","0","0","0","0.0",
"854779101","626437605","159502404","416.32","57.799999999999955","3.228","300","119","92","18","0.5","57.799999999999955","3.228","0","0","0","0.0",
"854779102","626437871","159502558","418.95","57.799999999999955","3.21","300","119","92","18","0.5","57.799999999999955","3.21","0","0","0","0.0",
"854779103","626438183","159502736","422.04","57.799999999999955","3.182","300","121","92","18","0.0","57.799999999999955","3.182","0","0","0","0.0",
"854779104","626438478","159502918","424.98","57.799999999999955","3.154","300","120","92","18","0.0","57.799999999999955","3.154","0","0","0","0.0",
"854779105","626438765","159503076","427.8","57.799999999999955","3.135","300","120","92","18","0.0","57.799999999999955","3.135","0","0","0","0.0",
"854779106","626439049","159503247","430.62","58.0","3.126","300","121","92","18","0.0","58.0","3.126","0","0","0","0.0",
"854779107","626439373","159503446","433.84","58.0","3.116","300","119","93","18","0.0","58.0","3.116","0","0","0","0.0",
"854779108","626439673","159503626","436.83","58.0","3.107","300","120","93","18","0.0","58.0","3.107","0","0","0","0.0",
"854779109","626439978","159503781","439.8","57.799999999999955","3.107","300","120","93","18","0.0","57.799999999999955","3.107","0","0","0","0.0",
"854779110","626440305","159503942","442.99","57.799999999999955","3.107","300","122","93","18","0.0","57.799999999999955","3.107","0","0","0","0.0",
"854779111","626440620","159504101","446.06","57.60000000000002","3.107","300","122","93","18","0.0","57.60000000000002","3.107","0","0","0","0.0",
"854779112","626440952","159504268","449.3","57.799999999999955","3.107","300","122","93","18","0.0","57.799999999999955","3.107","0","0","0","0.0",
"854779113","626441263","159504440","452.36","57.60000000000002","3.107","300","123","93","18","0.0","57.60000000000002","3.107","0","0","0","0.0",
"854779114","626441580","159504636","455.52","57.60000000000002","3.107","300","124","93","18","0.0","57.60000000000002","3.107","0","0","0","0.0",
"854779115","626441904","159504829","458.74","57.60000000000002","3.107","300","125","93","18","0.0","57.60000000000002","3.107","0","0","0","0.0",
"854779116","626442233","159505022","461.99","57.60000000000002","3.116","300","126","93","18","0.0","57.60000000000002","3.116","0","0","0","0.0",
"854779117","626442562","159505227","465.27","57.60000000000002","3.126","300","127","93","18","0.0","57.60000000000002","3.126","0","0","0","0.0",
"854779118","626442881","159505432","468.47","57.60000000000002","3.126","300","128","93","18","0.0","57.60000000000002","3.126","0","0","0","0.0",
"854779119","626443217","159505660","471.87","57.60000000000002","3.126","300","128","93","18","0.0","57.60000000000002","3.126","0","0","0","0.0",
"854779120","626443550","159505889","475.23","57.60000000000002","3.144","300","128","93","18","0.0","57.60000000000002","3.144","0","0","0","0.0",
"854779121","626443894","159506114","478.69","57.39999999999998","3.144","300","128","93","18","0.0","57.39999999999998","3.144","0","0","0","0.0",
"854779122","626444203","159506330","481.82","57.39999999999998","3.154","300","128","93","18","0.0","57.39999999999998","3.154","0","0","0","0.0",
"854779123","626444529","159506544","485.09","57.200000000000045","3.154","300","128","93","17","0.0","57.200000000000045","3.154","0","0","0","0.0",
"854779124","626444833","159506730","488.11","57.0","3.163","300","127","93","17","0.0","57.0","3.163","0","0","0","0.0",
"854779125","626445148","159506899","491.21","56.799999999999955","3.163","300","127","93","17","0.0","56.799999999999955","3.163","0","0","0","0.0",
"854779126","626445467","159507055","494.31","56.60000000000002","3.163","300","127","93","17","0.0","56.60000000000002","3.163","0","0","0","0.0",
"854779127","626445798","159507227","497.55","56.799999999999955","3.163","300","127","93","17","0.0","56.799999999999955","3.163","0","0","0","0.0",
"854779128","626446123","159507402","500.75","56.60000000000002","3.163","300","127","93","17","0.0","56.60000000000002","3.163","0","0","0","0.0",
"854779129","626446452","159507580","503.97","56.60000000000002","3.163","300","127","93","17","0.0","56.60000000000002","3.163","0","0","0","0.0",
"854779130","626446745","159507749","506.87","56.60000000000002","3.163","300","128","93","17","0.0","56.60000000000002","3.163","0","0","0","0.0",
"854779131","626447040","159507892","509.74","56.60000000000002","3.154","300","128","93","17","0.0","56.60000000000002","3.154","0","0","0","0.0",
