"session","time","distance","heart.rate","speed","power","pace"
4,2017-06-11 08:29:49,4818.2,143,9.36000000000131,222,6.41025641025551
4,2017-06-11 08:29:50,4820.8,143,11.8800000000007,222,5.05050505050477
4,2017-06-11 08:29:51,4824.1,144,15.4799999999974,218,3.87596899224872
4,2017-06-11 08:29:52,4828.4,144,10.8,220,5.55555555555556
4,2017-06-11 08:29:53,4831.4,144,10.0800000000007,217,5.95238095238057
4,2017-06-11 08:29:54,4834.2,145,8.28000000000065,225,7.24637681159363
4,2017-06-11 08:29:55,4836.5,144,11.1600000000013,223,5.37634408602087
4,2017-06-11 08:29:56,4839.6,143,15.1199999999993,226,3.96825396825414
4,2017-06-11 08:29:57,4843.8,143,9.71999999999934,228,6.17283950617326
4,2017-06-11 08:29:58,4846.5,143,12.6,228,4.76190476190476
4,2017-06-11 08:29:59,4850,142,8.28000000000065,223,7.24637681159363
4,2017-06-11 08:30:00,4852.3,143,11.5199999999993,228,5.20833333333363
4,2017-06-11 08:30:01,4855.5,143,9.36000000000131,225,6.41025641025551
4,2017-06-11 08:30:02,4858.1,143,11.159999999998,229,5.37634408602245
4,2017-06-11 08:30:03,4861.2,144,10.440000000002,229,5.74712643678053
4,2017-06-11 08:30:04,4864.1,144,12.6,228,4.76190476190476
4,2017-06-11 08:30:05,4867.6,145,9,229,6.66666666666667
4,2017-06-11 08:30:06,4870.1,145,12.6,234,4.76190476190476
4,2017-06-11 08:30:07,4873.6,144,7.2,230,8.33333333333333
4,2017-06-11 08:30:08,4875.6,144,8.27999999999738,231,7.2463768115965
4,2017-06-11 08:30:09,4877.9,144,8.64000000000197,238,6.94444444444287
4,2017-06-11 08:30:10,4880.3,144,10.4399999999987,228,5.74712643678233
4,2017-06-11 08:30:11,4883.2,144,14.040000000002,227,4.27350427350368
4,2017-06-11 08:30:12,4887.1,144,13.3199999999993,228,4.50450450450472
4,2017-06-11 08:30:13,4890.8,144,11.8800000000007,226,5.05050505050477
4,2017-06-11 08:30:14,4894.1,145,12.2399999999987,227,4.90196078431425
4,2017-06-11 08:30:15,4897.5,144,11.8800000000007,235,5.05050505050477
4,2017-06-11 08:30:16,4900.8,144,10.0800000000007,226,5.95238095238057
4,2017-06-11 08:30:17,4903.6,144,12.959999999998,235,4.62962962963033
4,2017-06-11 08:30:18,4907.2,144,11.1600000000013,229,5.37634408602087
4,2017-06-11 08:30:19,4910.3,145,12.6,230,4.76190476190476
4,2017-06-11 08:30:20,4913.8,145,11.8800000000007,229,5.05050505050477
4,2017-06-11 08:30:21,4917.1,145,10.0799999999974,238,5.9523809523825
4,2017-06-11 08:30:22,4919.9,143,9.72000000000262,232,6.17283950617118
4,2017-06-11 08:30:23,4922.6,144,10.4399999999987,239,5.74712643678233
4,2017-06-11 08:30:24,4925.5,144,9.36000000000131,237,6.41025641025551
4,2017-06-11 08:30:25,4928.1,143,10.8,234,5.55555555555556
4,2017-06-11 08:30:26,4931.1,143,10.8,239,5.55555555555556
4,2017-06-11 08:30:27,4934.1,143,11.8799999999974,239,5.05050505050616
4,2017-06-11 08:30:28,4937.4,143,10.0800000000007,239,5.95238095238057
4,2017-06-11 08:30:29,4940.2,142,8.64000000000197,235,6.94444444444287
4,2017-06-11 08:30:30,4942.6,143,9.71999999999934,237,6.17283950617326
4,2017-06-11 08:30:31,4945.3,142,9.35999999999803,232,6.41025641025776
4,2017-06-11 08:30:32,4947.9,143,9.36000000000131,236,6.41025641025551
4,2017-06-11 08:30:33,4950.5,144,9,230,6.66666666666667
4,2017-06-11 08:30:34,4953,144,9.36000000000131,235,6.41025641025551
4,2017-06-11 08:30:35,4955.6,144,8.27999999999738,239,7.2463768115965
4,2017-06-11 08:30:36,4957.9,144,7.92000000000262,237,7.57575757575507
4,2017-06-11 08:30:37,4960.1,144,9.71999999999934,230,6.17283950617326
4,2017-06-11 08:30:38,4962.8,143,7.91999999999934,233,7.5757575757582
4,2017-06-11 08:30:39,4965,144,8.63999999999869,230,6.9444444444455
4,2017-06-11 08:30:40,4967.4,143,11.8800000000007,229,5.05050505050477
4,2017-06-11 08:30:41,4970.7,144,8.64000000000197,228,6.94444444444287
