"","Dates","Value","Type","Unit","Measure"
"220",2017-05-08 06:18:18,9751,"FatMass",-3,9.751
"221",2017-05-07 07:23:12,86752,"Weight",-3,86.752
"222",2017-05-07 07:23:12,77724,"FatFree",-3,77.724
"223",2017-05-07 07:23:12,10406,"FatRatio",-3,10.406
"224",2017-05-07 07:23:12,9028,"FatMass",-3,9.028
"225",2017-05-06 07:01:36,85665,"Weight",-3,85.665
"226",2017-05-06 07:01:36,76486,"FatFree",-3,76.486
"227",2017-05-06 07:01:36,10715,"FatRatio",-3,10.715
"228",2017-05-06 07:01:36,9179,"FatMass",-3,9.179
"229",2017-05-05 06:31:45,86327,"Weight",-3,86.327
"230",2017-05-05 06:31:45,77209,"FatFree",-3,77.209
"231",2017-05-05 06:31:45,10562,"FatRatio",-3,10.562
"232",2017-05-05 06:31:45,9118,"FatMass",-3,9.118
"233",2017-05-04 06:05:45,85552,"Weight",-3,85.552
"234",2017-05-04 06:05:45,77288,"FatFree",-3,77.288
"235",2017-05-04 06:05:45,9660,"FatRatio",-3,9.66
"236",2017-05-04 06:05:45,8264,"FatMass",-3,8.264
"237",2017-05-03 06:53:25,85674,"Weight",-3,85.674
"238",2017-05-03 06:53:25,78106,"FatFree",-3,78.106
"239",2017-05-03 06:53:25,8834,"FatRatio",-3,8.834
"240",2017-05-03 06:53:25,7568,"FatMass",-3,7.568
"241",2017-05-02 06:01:54,86267,"Weight",-3,86.267
"242",2017-05-02 06:01:54,76873,"FatFree",-3,76.873
"243",2017-05-02 06:01:54,10890,"FatRatio",-3,10.89
"244",2017-05-02 06:01:54,9394,"FatMass",-3,9.394
"245",2017-05-01 06:28:06,84643,"Weight",-3,84.643
"246",2017-05-01 06:28:06,74968,"FatFree",-3,74.968
"247",2017-05-01 06:28:06,11430,"FatRatio",-3,11.43
"248",2017-05-01 06:28:06,9675,"FatMass",-3,9.675
"249",2017-04-30 05:20:08,85546,"Weight",-3,85.546
"250",2017-04-30 05:20:08,76178,"FatFree",-3,76.178
"251",2017-04-30 05:20:08,10950,"FatRatio",-3,10.95
"252",2017-04-30 05:20:08,9368,"FatMass",-3,9.368
"253",2017-04-18 06:07:13,84870,"Weight",-3,84.87
"254",2017-04-18 06:07:13,75712,"FatFree",-3,75.712
"255",2017-04-18 06:07:13,10791,"FatRatio",-3,10.791
"256",2017-04-18 06:07:13,9158,"FatMass",-3,9.158
"257",2017-04-17 05:38:06,84963,"Weight",-3,84.963
"258",2017-04-17 05:38:06,76596,"FatFree",-3,76.596
"259",2017-04-17 05:38:06,9847,"FatRatio",-3,9.847
"260",2017-04-17 05:38:06,8367,"FatMass",-3,8.367
"261",2017-04-16 06:11:21,84437,"Weight",-3,84.437
"262",2017-04-16 06:11:21,75751,"FatFree",-3,75.751
"263",2017-04-16 06:11:21,10287,"FatRatio",-3,10.287
"264",2017-04-16 06:11:21,8686,"FatMass",-3,8.686
"265",2017-04-15 06:23:40,84319,"Weight",-3,84.319
"266",2017-04-15 06:23:40,76374,"FatFree",-3,76.374
"267",2017-04-15 06:23:40,9423,"FatRatio",-3,9.423
"268",2017-04-15 06:23:40,7945,"FatMass",-3,7.945
"269",2017-04-14 04:41:38,84692,"Weight",-3,84.692
