record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.fractional_cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.0.Power[Watts],record.developer.0.Cadence[RPM],record.developer.0.Ground Time[Milliseconds],record.developer.0.Vertical Oscillation[Centimeters],
"854979807","626409563","159497932","159.61","56.60000000000002","2.37","100","147","89","23","0.0","56.60000000000002","2.37","0","0","0","0.0",
"854979808","626409730","159497574","162.11","56.60000000000002","2.351","100","144","90","23","0.0","56.60000000000002","2.351","0","0","0","0.0",
"854979809","626409880","159497277","164.01","56.799999999999955","2.351","100","141","90","23","0.0","56.799999999999955","2.351","0","0","0","0.0",
"854979810","626410022","159496999","165.76","56.799999999999955","2.351","100","139","90","23","0.0","56.799999999999955","2.351","0","0","0","0.0",
"854979811","626410176","159496702","167.97","57.0","2.333","100","138","90","23","0.0","57.0","2.333","0","0","0","0.0",
"854979812","626410360","159496380","170.44","57.200000000000045","2.314","100","138","90","23","0.0","57.200000000000045","2.314","0","0","0","0.0",
"854979813","626410533","159496047","172.91","57.39999999999998","2.314","100","135","89","23","0.0","57.39999999999998","2.314","0","0","0","0.0",
"854979814","626410673","159495666","175.23","57.39999999999998","2.314","100","135","89","23","0.0","57.39999999999998","2.314","0","0","0","0.0",
"854979815","626410820","159495309","177.56","57.60000000000002","2.305","100","137","89","23","0.0","57.60000000000002","2.305","0","0","0","0.0",
"854979816","626410984","159494943","180.1","57.799999999999955","2.295","100","138","89","23","0.0","57.799999999999955","2.295","0","0","0","0.0",
"854979817","626411087","159494593","182.21","58.200000000000045","2.295","100","138","89","23","0.0","58.200000000000045","2.295","0","0","0","0.0",
"854979818","626411197","159494179","184.78","58.39999999999998","2.295","100","140","89","23","0.0","58.39999999999998","2.295","0","0","0","0.0",
"854979819","626411306","159493752","187.36","58.799999999999955","2.286","100","143","90","23","0.0","58.799999999999955","2.286","0","0","0","0.0",
"854979820","626411530","159493401","190.24","59.0","2.286","100","144","90","23","0.0","59.0","2.286","0","0","0","0.0",
"854979821","626411891","159493010","194.23","59.0","2.286","100","142","90","22","0.0","59.0","2.286","0","0","0","0.0",
"854979822","626412225","159492614","197.93","59.200000000000045","2.295","100","145","90","22","0.0","59.200000000000045","2.295","0","0","0","0.0",
"854979823","626412509","159492211","201.42","59.39999999999998","2.295","100","146","89","22","0.0","59.39999999999998","2.295","0","0","0","0.0",
"854979824","626412819","159491940","204.48","59.39999999999998","2.333","100","147","89","22","0.5","59.39999999999998","2.333","0","0","0","0.0",
"854979825","626413199","159491782","208.03","59.60000000000002","2.351","100","147","89","22","0.0","59.60000000000002","2.351","0","0","0","0.0",
"854979826","626413558","159491738","211.29","59.60000000000002","2.538","100","147","87","22","0.5","59.60000000000002","2.538","0","0","0","0.0",
"854979827","626413946","159491758","214.83","59.60000000000002","2.883","100","147","84","22","0.5","59.60000000000002","2.883","0","0","0","0.0",
"854979828","626414316","159491832","218.22","59.60000000000002","2.911","100","148","84","22","0.5","59.60000000000002","2.911","0","0","0","0.0",
"854979829","626414704","159491910","221.8","59.60000000000002","3.042","100","148","84","22","0.5","59.60000000000002","3.042","0","0","0","0.0",
"854979830","626415035","159492016","224.91","59.799999999999955","3.07","100","147","84","22","0.5","59.799999999999955","3.07","0","0","0","0.0",
"854979831","626415384","159492155","228.2","59.799999999999955","3.042","100","147","89","22","0.0","59.799999999999955","3.042","0","0","0","0.0",
"854979832","626415698","159492341","231.27","59.799999999999955","3.051","100","147","89","22","0.0","59.799999999999955","3.051","0","0","0","0.0",
"854979833","626415980","159492545","234.11","60.0","3.014","100","146","90","22","0.0","60.0","3.014","0","0","0","0.0",
"854979834","626416239","159492770","236.81","60.0","3.004","100","146","90","22","0.0","60.0","3.004","0","0","0","0.0",
"854979835","626416464","159492950","239.11","60.0","2.874","100","146","89","22","0.0","60.0","2.874","0","0","0","0.0",
"854979836","626416634","159493081","240.73","60.0","2.809","100","146","88","22","0.0","60.0","2.809","0","0","0","0.0",
"854979837","626416765","159493177","241.84","59.799999999999955","2.585","100","146","88","22","0.0","59.799999999999955","2.585","0","0","0","0.0",
"854979838","626416853","159493248","242.58","59.799999999999955","2.286","100","146","61","22","0.0","59.799999999999955","2.286","0","0","0","0.0",
"854979850","626417540","159491297","243.26","60.0","0.103","100","147","61","22","0.0","60.0","0.103","0","0","0","0.0",
"854979851","626417670","159491161","244.71","60.0","1.614","100","146","61","22","0.0","60.0","1.614","0","0","0","0.0",
"854979852","626417903","159491033","246.99","60.0","1.614","100","146","61","22","0.0","60.0","1.614","0","0","0","0.0",
"854979853","626418217","159490945","249.95","60.0","1.642","100","146","61","22","0.0","60.0","1.642","0","0","0","0.0",
"854979854","626418552","159490915","253.09","60.0","2.342","100","146","61","22","0.0","60.0","2.342","0","0","0","0.0",
